time,number,keyword,hot,character
Sun Mar  1 00:00:14 2020,top,治愈患者出院后肺功能康复的建议,,热
Sun Mar  1 00:00:14 2020,1,3月起明令禁止网络暴力人肉搜索,4032498,热
Sun Mar  1 00:00:14 2020,2,日本首家因疫情倒闭企业,2200606,热
Sun Mar  1 00:00:14 2020,3,北京出现假冒小区出入证,2186970,热
Sun Mar  1 00:00:14 2020,4,心疼九八五,2186890,热
Sun Mar  1 00:00:14 2020,5,被江达琳气死,1563437,
Sun Mar  1 00:00:14 2020,6,馋久了什么都想吃,1407451,荐
Sun Mar  1 00:00:14 2020,7,宋茜宋威龙好甜,1340599,新
Sun Mar  1 00:00:14 2020,8,1037万多名党员自愿捐款11,1207335,热
Sun Mar  1 00:00:14 2020,9,红糖饼,995077,新
Sun Mar  1 00:00:14 2020,10,任嘉伦不会滑旱冰,774248,
Sun Mar  1 00:00:14 2020,11,想见你最后彩蛋,695890,
Sun Mar  1 00:00:14 2020,12,美国北约14个月内从阿富汗全部撤军,649743,
Sun Mar  1 00:00:14 2020,13,卫哲,601851,
Sun Mar  1 00:00:14 2020,14,伊朗一名感染新冠病毒议员去世,592097,
Sun Mar  1 00:00:14 2020,15,成都世界大运会日期确定,586757,
Sun Mar  1 00:00:14 2020,16,安家,585786,
Sun Mar  1 00:00:14 2020,17,肖战,585399,热
Sun Mar  1 00:00:14 2020,18,快本这期没有谢娜,575146,热
Sun Mar  1 00:00:14 2020,19,朋友圈文案,563803,新
Sun Mar  1 00:00:14 2020,20,人人影视,556495,新
Sun Mar  1 00:00:14 2020,21,张杰云演唱会,551502,新
Sun Mar  1 00:00:14 2020,22,橙光,547539,新
Sun Mar  1 00:00:14 2020,23,易烊千玺,535543,新
Sun Mar  1 00:00:14 2020,24,稻城到底有多美,534026,
Sun Mar  1 00:00:14 2020,25,西藏16人救治团队全部解除医学隔离,495250,
Sun Mar  1 00:00:14 2020,26,这就是四年后的你,482139,新
Sun Mar  1 00:00:14 2020,27,四年前的今天发过的朋友圈,480419,
Sun Mar  1 00:00:14 2020,28,四年后的2月29,473604,
Sun Mar  1 00:00:14 2020,29,全年人均月流量7,462791,新
Sun Mar  1 00:00:14 2020,30,美国和塔利班签署和平协议,445523,
Sun Mar  1 00:00:14 2020,31,法国疫情扩散进入第二阶段,436052,新
Sun Mar  1 00:00:14 2020,32,陆政廷,406525,
Sun Mar  1 00:00:14 2020,33,平底锅做铁板烧烤豆腐,381400,新
Sun Mar  1 00:00:14 2020,34,手抓饼披萨,369046,
Sun Mar  1 00:00:14 2020,35,中国援伊朗专家组抵达德黑兰,366783,
Sun Mar  1 00:00:14 2020,36,蔡徐坤,366072,
Sun Mar  1 00:00:14 2020,37,完美关系,351518,
Sun Mar  1 00:00:14 2020,38,周子瑜,346124,
Sun Mar  1 00:00:14 2020,39,韩国新冠肺炎累计3150例,322808,
Sun Mar  1 00:00:14 2020,40,声临其境,311495,
Sun Mar  1 00:00:14 2020,41,袁隆平捐10万元支持湖北抗疫,303483,
Sun Mar  1 00:00:14 2020,42,北京儿童医院确诊患儿1例,269646,
Sun Mar  1 00:00:14 2020,43,陈情令新花絮,268591,
Sun Mar  1 00:00:14 2020,44,上海Costco超市顶楼冒出黑烟,264511,
Sun Mar  1 00:00:14 2020,45,大主宰,259945,
Sun Mar  1 00:00:14 2020,46,外国人永久居留管理条例,258733,
Sun Mar  1 00:00:14 2020,47,教皇,258595,
Sun Mar  1 00:00:14 2020,48,凯撒奖引起离场抗议,246766,
Sun Mar  1 00:00:14 2020,49,天津两名出院患者核酸复阳再次入院,240330,
Sun Mar  1 00:00:14 2020,50,酸奶煎饼,168247,
Sun Mar  1 00:30:07 2020,top,全国累计治愈首超现有确诊病例数,,热
Sun Mar  1 00:30:07 2020,1,3月起明令禁止网络暴力人肉搜索,3576873,热
Sun Mar  1 00:30:07 2020,2,北京出现假冒小区出入证,1874250,新
Sun Mar  1 00:30:07 2020,3,猿题库百万人在线大模考,1847235,荐
Sun Mar  1 00:30:07 2020,4,日本首家因疫情倒闭企业,1815520,热
